date_collected,week_ending_date,calendar_year,marketing_year,calendar_month,marketing_year_month,calendar_week,marketing_year_week,commodity,country,export_inspections,unit
01-10-2026,2025-04-10,2025,2025,4,11,15,45,wheat,world,604461,Metric Tons
01-10-2026,2025-04-10,2025,2025,4,8,15,32,soybeans,world,546348,Metric Tons
01-10-2026,2025-04-10,2025,2025,4,8,15,32,corn,world,1829000,Metric Tons
01-10-2026,2025-04-03,2025,2025,4,8,14,31,soybeans,world,804270,Metric Tons
01-10-2026,2025-04-03,2025,2025,4,11,14,44,wheat,world,334888,Metric Tons
01-10-2026,2025-04-03,2025,2025,4,8,14,31,corn,world,1582773,Metric Tons
01-10-2026,2025-03-27,2025,2025,3,7,13,30,soybeans,world,793250,Metric Tons
01-10-2026,2025-03-27,2025,2025,3,7,13,30,corn,world,1614406,Metric Tons
01-10-2026,2025-03-27,2025,2025,3,10,13,43,wheat,world,435644,Metric Tons
01-10-2026,2025-03-20,2025,2025,3,7,12,29,soybeans,world,822214,Metric Tons
01-10-2026,2025-03-20,2025,2025,3,10,12,42,wheat,world,484701,Metric Tons
01-10-2026,2025-03-20,2025,2025,3,7,12,29,corn,world,1463093,Metric Tons
01-10-2026,2025-03-13,2025,2025,3,7,11,28,corn,world,1658631,Metric Tons
01-10-2026,2025-03-13,2025,2025,3,10,11,41,wheat,world,492658,Metric Tons
01-10-2026,2025-03-13,2025,2025,3,7,11,28,soybeans,world,646667,Metric Tons
01-10-2026,2025-03-06,2025,2025,3,7,10,27,soybeans,world,844218,Metric Tons
01-10-2026,2025-03-06,2025,2025,3,7,10,27,corn,world,1819812,Metric Tons
01-10-2026,2025-03-06,2025,2025,3,10,10,40,wheat,world,216173,Metric Tons
01-10-2026,2025-02-27,2025,2025,2,6,9,26,soybeans,world,695158,Metric Tons
01-10-2026,2025-02-27,2025,2025,2,9,9,39,wheat,world,389593,Metric Tons
01-10-2026,2025-02-27,2025,2025,2,6,9,26,corn,world,1351373,Metric Tons
01-10-2026,2025-02-20,2025,2025,2,6,8,25,corn,world,1134476,Metric Tons
01-10-2026,2025-02-20,2025,2025,2,9,8,38,wheat,world,375546,Metric Tons
01-10-2026,2025-02-20,2025,2025,2,6,8,25,soybeans,world,858679,Metric Tons
01-10-2026,2025-02-13,2025,2025,2,6,7,24,corn,world,1611469,Metric Tons
01-10-2026,2025-02-13,2025,2025,2,9,7,37,wheat,world,249812,Metric Tons
01-10-2026,2025-02-13,2025,2025,2,6,7,24,soybeans,world,720332,Metric Tons
01-10-2026,2025-02-06,2025,2025,2,6,6,23,soybeans,world,1042182,Metric Tons
01-10-2026,2025-02-06,2025,2025,2,9,6,36,wheat,world,536217,Metric Tons
01-10-2026,2025-02-06,2025,2025,2,6,6,23,corn,world,1334210,Metric Tons
01-10-2026,2025-01-30,2025,2025,1,5,5,22,corn,world,1252056,Metric Tons
01-10-2026,2025-01-30,2025,2025,1,5,5,22,soybeans,world,1013292,Metric Tons
01-10-2026,2025-01-30,2025,2025,1,8,5,35,wheat,world,252637,Metric Tons
01-10-2026,2025-01-23,2025,2025,1,5,4,21,corn,world,1247004,Metric Tons
01-10-2026,2025-01-23,2025,2025,1,8,4,34,wheat,world,484544,Metric Tons
01-10-2026,2025-01-23,2025,2025,1,5,4,21,soybeans,world,729362,Metric Tons
01-10-2026,2025-01-16,2025,2025,1,8,3,33,wheat,world,261786,Metric Tons
01-10-2026,2025-01-16,2025,2025,1,5,3,20,soybeans,world,973145,Metric Tons
01-10-2026,2025-01-16,2025,2025,1,5,3,20,corn,world,1541423,Metric Tons
01-10-2026,2025-01-09,2025,2025,1,5,2,19,soybeans,world,1350121,Metric Tons
01-10-2026,2025-01-09,2025,2025,1,8,2,32,wheat,world,288895,Metric Tons
01-10-2026,2025-01-09,2025,2025,1,5,2,19,corn,world,1441006,Metric Tons
01-10-2026,2025-01-02,2025,2025,1,5,1,18,corn,world,847463,Metric Tons
01-10-2026,2025-01-02,2025,2025,1,8,1,31,wheat,world,412342,Metric Tons
01-10-2026,2025-01-02,2025,2025,1,5,1,18,soybeans,world,1284970,Metric Tons
01-10-2026,2024-12-26,2024,2025,12,4,52,17,corn,world,878380,Metric Tons
01-10-2026,2024-12-26,2024,2025,12,7,52,30,wheat,world,337685,Metric Tons
01-10-2026,2024-12-26,2024,2025,12,4,52,17,soybeans,world,1569439,Metric Tons
01-10-2026,2024-12-19,2024,2025,12,4,51,16,corn,world,1122861,Metric Tons
01-10-2026,2024-12-19,2024,2025,12,7,51,29,wheat,world,403719,Metric Tons
01-10-2026,2024-12-19,2024,2025,12,4,51,16,soybeans,world,1747037,Metric Tons
01-10-2026,2024-12-12,2024,2025,12,7,50,28,wheat,world,298075,Metric Tons
01-10-2026,2024-12-12,2024,2025,12,4,50,15,corn,world,1129834,Metric Tons
01-10-2026,2024-12-12,2024,2025,12,4,50,15,soybeans,world,1676444,Metric Tons
01-10-2026,2024-12-05,2024,2025,12,4,49,14,corn,world,1049690,Metric Tons
01-10-2026,2024-12-05,2024,2025,12,4,49,14,soybeans,world,1622197,Metric Tons
01-10-2026,2024-12-05,2024,2025,12,7,49,27,wheat,world,226513,Metric Tons
01-10-2026,2024-11-28,2024,2025,11,6,48,26,wheat,world,296106,Metric Tons
01-10-2026,2024-11-28,2024,2025,11,3,48,13,soybeans,world,2088361,Metric Tons
01-10-2026,2024-11-28,2024,2025,11,3,48,13,corn,world,935859,Metric Tons
01-10-2026,2024-11-21,2024,2025,11,3,47,12,corn,world,903049,Metric Tons
01-10-2026,2024-11-21,2024,2025,11,3,47,12,soybeans,world,2102002,Metric Tons
01-10-2026,2024-11-21,2024,2025,11,6,47,25,wheat,world,360513,Metric Tons
01-10-2026,2024-11-14,2024,2025,11,6,46,24,wheat,world,196281,Metric Tons
01-10-2026,2024-11-14,2024,2025,11,3,46,11,soybeans,world,2165075,Metric Tons
01-10-2026,2024-11-14,2024,2025,11,3,46,11,corn,world,820608,Metric Tons
01-10-2026,2024-11-07,2024,2025,11,3,45,10,soybeans,world,2277907,Metric Tons
01-10-2026,2024-11-07,2024,2025,11,6,45,23,wheat,world,347321,Metric Tons
01-10-2026,2024-11-07,2024,2025,11,3,45,10,corn,world,793012,Metric Tons
01-10-2026,2024-10-31,2024,2025,10,5,44,22,wheat,world,193523,Metric Tons
01-10-2026,2024-10-31,2024,2025,10,2,44,9,soybeans,world,2158646,Metric Tons
01-10-2026,2024-10-31,2024,2025,10,2,44,9,corn,world,779078,Metric Tons
01-10-2026,2024-10-24,2024,2025,10,2,43,8,soybeans,world,2393628,Metric Tons
01-10-2026,2024-10-24,2024,2025,10,5,43,21,wheat,world,248534,Metric Tons
01-10-2026,2024-10-24,2024,2025,10,2,43,8,corn,world,823664,Metric Tons
01-10-2026,2024-10-17,2024,2025,10,2,42,7,corn,world,999811,Metric Tons
01-10-2026,2024-10-17,2024,2025,10,5,42,20,wheat,world,268375,Metric Tons
01-10-2026,2024-10-17,2024,2025,10,2,42,7,soybeans,world,2433530,Metric Tons
01-10-2026,2024-10-10,2024,2025,10,2,41,6,soybeans,world,1575467,Metric Tons
01-10-2026,2024-10-10,2024,2025,10,5,41,19,wheat,world,371004,Metric Tons
01-10-2026,2024-10-10,2024,2025,10,2,41,6,corn,world,430323,Metric Tons
01-10-2026,2024-10-03,2024,2025,10,5,40,18,wheat,world,363460,Metric Tons
01-10-2026,2024-10-03,2024,2025,10,2,40,5,soybeans,world,1431345,Metric Tons
01-10-2026,2024-10-03,2024,2025,10,2,40,5,corn,world,933274,Metric Tons
01-10-2026,2024-09-26,2024,2025,9,1,39,4,corn,world,1140079,Metric Tons
01-10-2026,2024-09-26,2024,2025,9,4,39,17,wheat,world,536929,Metric Tons
01-10-2026,2024-09-26,2024,2025,9,1,39,4,soybeans,world,675749,Metric Tons
01-10-2026,2024-09-19,2024,2025,9,1,38,3,corn,world,1102826,Metric Tons
01-10-2026,2024-09-19,2024,2025,9,1,38,3,soybeans,world,485216,Metric Tons
01-10-2026,2024-09-19,2024,2025,9,4,38,16,wheat,world,711073,Metric Tons
01-10-2026,2024-09-12,2024,2025,9,1,37,2,soybeans,world,401287,Metric Tons
01-10-2026,2024-09-12,2024,2025,9,1,37,2,corn,world,521118,Metric Tons
01-10-2026,2024-09-12,2024,2025,9,4,37,15,wheat,world,556901,Metric Tons
01-10-2026,2024-09-05,2024,2025,9,1,36,1,corn,world,836413,Metric Tons
01-10-2026,2024-09-05,2024,2025,9,1,36,1,soybeans,world,354166,Metric Tons
01-10-2026,2024-09-05,2024,2025,9,4,36,14,wheat,world,586687,Metric Tons
01-10-2026,2024-08-29,2024,2025,8,3,35,13,wheat,world,577944,Metric Tons
01-10-2026,2024-08-29,2024,2024,8,12,35,52,corn,world,965292,Metric Tons
01-10-2026,2024-08-29,2024,2024,8,12,35,52,soybeans,world,496860,Metric Tons
01-10-2026,2024-08-22,2024,2024,8,12,34,51,soybeans,world,411165,Metric Tons
01-10-2026,2024-08-22,2024,2025,8,3,34,12,wheat,world,537179,Metric Tons
01-10-2026,2024-08-22,2024,2024,8,12,34,51,corn,world,894295,Metric Tons
01-10-2026,2024-08-15,2024,2024,8,12,33,50,soybeans,world,398233,Metric Tons
01-10-2026,2024-08-15,2024,2025,8,3,33,11,wheat,world,347519,Metric Tons
01-10-2026,2024-08-15,2024,2024,8,12,33,50,corn,world,1166090,Metric Tons
01-10-2026,2024-08-08,2024,2024,8,12,32,49,soybeans,world,326546,Metric Tons
01-10-2026,2024-08-08,2024,2025,8,3,32,10,wheat,world,649199,Metric Tons
01-10-2026,2024-08-08,2024,2024,8,12,32,49,corn,world,974677,Metric Tons
01-10-2026,2024-08-01,2024,2024,8,12,31,48,corn,world,1213422,Metric Tons
01-10-2026,2024-08-01,2024,2024,8,12,31,48,soybeans,world,261203,Metric Tons
01-10-2026,2024-08-01,2024,2025,8,3,31,9,wheat,world,440888,Metric Tons
01-10-2026,2024-07-25,2024,2025,7,2,30,8,wheat,world,431233,Metric Tons
01-10-2026,2024-07-25,2024,2024,7,11,30,47,corn,world,1058922,Metric Tons
01-10-2026,2024-07-25,2024,2024,7,11,30,47,soybeans,world,403268,Metric Tons
01-10-2026,2024-07-18,2024,2025,7,2,29,7,wheat,world,237965,Metric Tons
01-10-2026,2024-07-18,2024,2024,7,11,29,46,soybeans,world,327061,Metric Tons
01-10-2026,2024-07-18,2024,2024,7,11,29,46,corn,world,970539,Metric Tons
01-10-2026,2024-07-11,2024,2024,7,11,28,45,soybeans,world,168593,Metric Tons
01-10-2026,2024-07-11,2024,2025,7,2,28,6,wheat,world,533828,Metric Tons
01-10-2026,2024-07-11,2024,2024,7,11,28,45,corn,world,1078911,Metric Tons
01-10-2026,2024-07-04,2024,2024,7,11,27,44,corn,world,1023905,Metric Tons
01-10-2026,2024-07-04,2024,2024,7,11,27,44,soybeans,world,273321,Metric Tons
01-10-2026,2024-07-04,2024,2025,7,2,27,5,wheat,world,341005,Metric Tons
01-10-2026,2024-06-27,2024,2024,6,10,26,43,corn,world,819577,Metric Tons
01-10-2026,2024-06-27,2024,2025,6,1,26,4,wheat,world,309775,Metric Tons
01-10-2026,2024-06-27,2024,2024,6,10,26,43,soybeans,world,303023,Metric Tons
01-10-2026,2024-06-20,2024,2025,6,1,25,3,wheat,world,342692,Metric Tons
01-10-2026,2024-06-20,2024,2024,6,10,25,42,corn,world,1117698,Metric Tons
01-10-2026,2024-06-20,2024,2024,6,10,25,42,soybeans,world,342293,Metric Tons
01-10-2026,2024-06-13,2024,2025,6,1,24,2,wheat,world,374637,Metric Tons
01-10-2026,2024-06-13,2024,2024,6,10,24,41,soybeans,world,334237,Metric Tons
01-10-2026,2024-06-13,2024,2024,6,10,24,41,corn,world,1286893,Metric Tons
01-10-2026,2024-06-06,2024,2024,6,10,23,40,corn,world,1339849,Metric Tons
01-10-2026,2024-06-06,2024,2025,6,1,23,1,wheat,world,352202,Metric Tons
01-10-2026,2024-06-06,2024,2024,6,10,23,40,soybeans,world,231002,Metric Tons
01-10-2026,2024-05-30,2024,2024,5,12,22,53,wheat,world,416010,Metric Tons
01-10-2026,2024-05-30,2024,2024,5,9,22,39,soybeans,world,348644,Metric Tons
01-10-2026,2024-05-30,2024,2024,5,9,22,39,corn,world,1374391,Metric Tons
01-10-2026,2024-05-23,2024,2024,5,9,21,38,corn,world,1077336,Metric Tons
01-10-2026,2024-05-23,2024,2024,5,12,21,52,wheat,world,398904,Metric Tons
01-10-2026,2024-05-23,2024,2024,5,9,21,38,soybeans,world,212105,Metric Tons
01-10-2026,2024-05-16,2024,2024,5,9,20,37,corn,world,1210541,Metric Tons
01-10-2026,2024-05-16,2024,2024,5,12,20,51,wheat,world,205612,Metric Tons
01-10-2026,2024-05-16,2024,2024,5,9,20,37,soybeans,world,184128,Metric Tons
01-10-2026,2024-05-09,2024,2024,5,9,19,36,soybeans,world,406052,Metric Tons
01-10-2026,2024-05-09,2024,2024,5,9,19,36,corn,world,937729,Metric Tons
01-10-2026,2024-05-09,2024,2024,5,12,19,50,wheat,world,366339,Metric Tons
01-10-2026,2024-05-02,2024,2024,5,9,18,35,corn,world,1285986,Metric Tons
01-10-2026,2024-05-02,2024,2024,5,9,18,35,soybeans,world,348654,Metric Tons
01-10-2026,2024-05-02,2024,2024,5,12,18,49,wheat,world,321124,Metric Tons
01-10-2026,2024-04-25,2024,2024,4,8,17,34,corn,world,1225952,Metric Tons
01-10-2026,2024-04-25,2024,2024,4,11,17,48,wheat,world,481183,Metric Tons
01-10-2026,2024-04-25,2024,2024,4,8,17,34,soybeans,world,250332,Metric Tons
01-10-2026,2024-04-18,2024,2024,4,8,16,33,corn,world,1623532,Metric Tons
01-10-2026,2024-04-18,2024,2024,4,11,16,47,wheat,world,450275,Metric Tons
01-10-2026,2024-04-18,2024,2024,4,8,16,33,soybeans,world,435256,Metric Tons
01-10-2026,2024-04-11,2024,2024,4,8,15,32,corn,world,1331683,Metric Tons
01-10-2026,2024-04-11,2024,2024,4,8,15,32,soybeans,world,432905,Metric Tons
01-10-2026,2024-04-11,2024,2024,4,11,15,46,wheat,world,551278,Metric Tons
01-10-2026,2024-04-04,2024,2024,4,8,14,31,soybeans,world,484328,Metric Tons
01-10-2026,2024-04-04,2024,2024,4,11,14,45,wheat,world,497534,Metric Tons
01-10-2026,2024-04-04,2024,2024,4,8,14,31,corn,world,1420023,Metric Tons
01-10-2026,2024-03-28,2024,2024,3,10,13,44,wheat,world,498989,Metric Tons
01-10-2026,2024-03-28,2024,2024,3,7,13,30,soybeans,world,414484,Metric Tons
01-10-2026,2024-03-28,2024,2024,3,7,13,30,corn,world,1431535,Metric Tons
01-10-2026,2024-03-21,2024,2024,3,7,12,29,corn,world,1227955,Metric Tons
01-10-2026,2024-03-21,2024,2024,3,10,12,43,wheat,world,315395,Metric Tons
01-10-2026,2024-03-21,2024,2024,3,7,12,29,soybeans,world,768711,Metric Tons
01-10-2026,2024-03-14,2024,2024,3,7,11,28,soybeans,world,686181,Metric Tons
01-10-2026,2024-03-14,2024,2024,3,10,11,42,wheat,world,302302,Metric Tons
01-10-2026,2024-03-14,2024,2024,3,7,11,28,corn,world,1238897,Metric Tons
01-10-2026,2024-03-07,2024,2024,3,7,10,27,soybeans,world,706334,Metric Tons
01-10-2026,2024-03-07,2024,2024,3,7,10,27,corn,world,1121912,Metric Tons
01-10-2026,2024-03-07,2024,2024,3,10,10,41,wheat,world,402874,Metric Tons
01-10-2026,2024-02-29,2024,2024,2,6,9,26,corn,world,1083503,Metric Tons
01-10-2026,2024-02-29,2024,2024,2,6,9,26,soybeans,world,1021385,Metric Tons
01-10-2026,2024-02-29,2024,2024,2,9,9,40,wheat,world,353137,Metric Tons
01-10-2026,2024-02-22,2024,2024,2,6,8,25,corn,world,1241692,Metric Tons
01-10-2026,2024-02-22,2024,2024,2,9,8,39,wheat,world,481999,Metric Tons
01-10-2026,2024-02-22,2024,2024,2,6,8,25,soybeans,world,974977,Metric Tons
01-10-2026,2024-02-15,2024,2024,2,6,7,24,corn,world,918610,Metric Tons
01-10-2026,2024-02-15,2024,2024,2,6,7,24,soybeans,world,1185885,Metric Tons
01-10-2026,2024-02-15,2024,2024,2,9,7,38,wheat,world,380774,Metric Tons
01-10-2026,2024-02-08,2024,2024,2,6,6,23,corn,world,880074,Metric Tons
01-10-2026,2024-02-08,2024,2024,2,9,6,37,wheat,world,407476,Metric Tons
01-10-2026,2024-02-08,2024,2024,2,6,6,23,soybeans,world,1326243,Metric Tons
01-10-2026,2024-02-01,2024,2024,2,9,5,36,wheat,world,266269,Metric Tons
01-10-2026,2024-02-01,2024,2024,2,6,5,22,soybeans,world,1426472,Metric Tons
01-10-2026,2024-02-01,2024,2024,2,6,5,22,corn,world,624295,Metric Tons
01-10-2026,2024-01-25,2024,2024,1,8,4,35,wheat,world,264666,Metric Tons
01-10-2026,2024-01-25,2024,2024,1,5,4,21,corn,world,901958,Metric Tons
01-10-2026,2024-01-25,2024,2024,1,5,4,21,soybeans,world,889717,Metric Tons
01-10-2026,2024-01-18,2024,2024,1,5,3,20,soybeans,world,1161100,Metric Tons
01-10-2026,2024-01-18,2024,2024,1,8,3,34,wheat,world,314521,Metric Tons
01-10-2026,2024-01-18,2024,2024,1,5,3,20,corn,world,713290,Metric Tons
01-10-2026,2024-01-11,2024,2024,1,5,2,19,soybeans,world,1264468,Metric Tons
01-10-2026,2024-01-11,2024,2024,1,8,2,33,wheat,world,234205,Metric Tons
01-10-2026,2024-01-11,2024,2024,1,5,2,19,corn,world,875621,Metric Tons
01-10-2026,2024-01-04,2024,2024,1,5,1,18,soybeans,world,674749,Metric Tons
01-10-2026,2024-01-04,2024,2024,1,8,1,32,wheat,world,491074,Metric Tons
01-10-2026,2024-01-04,2024,2024,1,5,1,18,corn,world,856597,Metric Tons
